Data Recorder CSV-File Format
PC Time (yyyy:mm:dd/h m s ms);2020/2/5 13h45m47s
Last Sample (d h m s ms);2h4m39s796ms
Sampling Rate (h m s ms);20ms
Minimum Sampling Time (h m s ms);0ms
Average Sampling Time (h m s ms);31ms
Maximum Sampling Time (h m s ms);63ms
Channel(s);8
Description;TYPE;Color;Width;0-Axis; Lowest Value; Highest Value; Address
h1_line_speed;REAL;0;0;5;0,;286,9656372;DLD0
h1_product_len;REAL;255;0;30;14,8419323;591,5266724;DLD2
h1_tension_1_avg;REAL;65280;0;55;526,6845093;561,9533691;DDT1038
h1_on_baord_ten_raw;REAL;16711680;0;80;0,5568000078;0,6047999859;DDT1104
h1_wrap_ten;REAL;8421504;0;105;-4,879947186;0,4807486832;DDT1130
h1_std_dev;REAL;8750591;0;130;1,606152207e-002;0,3629674613;DDT1132
h1_tape_ten_vdc;REAL;26367;0;155;0,;0,;DDT1080
h1_flyer_rpm;REAL;32768;0;180;0,;459,1450195;DDT1066
Number of Samples;239400

Time;h1_line_speed;h1_product_len;h1_tension_1_avg;h1_on_baord_ten_raw;h1_wrap_ten;h1_std_dev;h1_tape_ten_vdc;h1_flyer_rpm;
0:0:4:437;57,52884674;14,91217613;536,8866577;0,5712000132;-3,028146982;0,2047019899;0,;92,04615784;
0:0:4:468;57,52884674;14,91385174;536,7128296;0,5719999671;-3,031724453;0,2047249228;0,;92,04615784;
0:0:4:500;57,52884674;14,91385174;536,4591675;0,5719999671;-3,035490274;0,2039959878;0,;92,04615784;
0:0:4:530;57,52884674;14,91385174;536,2251587;0,5727999806;-3,038126469;0,2031812072;0,;92,04615784;
0:0:4:562;57,52884674;14,91527557;535,9796753;0,5735999942;-3,039633036;0,2026738524;0,;92,04615784;
0:0:4:593;57,52884674;14,91527557;535,6434937;0,5744000077;-3,039821386;0,2025875747;0,;92,04615784;
0:0:4:625;57,52884674;14,91527557;535,3849487;0,5751999617;-3,038503647;0,2034481913;0,;92,04615784;
0:0:4:655;57,52884674;14,91697216;535,1803589;0,5751999617;-3,036620855;0,2044582516;0,;92,04615784;
0:0:4:687;57,52884674;14,91697216;535,0321045;0,5751999617;-3,033984661;0,205248192;0,;92,04615784;
0:0:4:718;57,52884674;14,91697216;534,8861694;0,5751999617;-3,030030489;0,2057627887;0,;92,04615784;
0:0:4:750;57,52884674;14,91864777;534,7820435;0,5751999617;-3,026076317;0,2052522302;0,;92,04615784;
0:0:4:780;57,52884674;14,91864777;534,6716309;0,5751999617;-3,021933794;0,2043863088;0,;92,04615784;
0:0:4:812;57,52884674;14,91864777;534,5386963;0,5744000077;-3,018733025;0,2035377771;0,;92,04615784;
0:0:4:843;57,52884674;14,9200716;534,2891846;0,5735999942;-3,015155315;0,2021497041;0,;92,04615784;
0:0:4:875;57,52884674;14,9200716;534,0452271;0,5735999942;-3,01364851;0,201598838;0,;92,04615784;
0:0:4:905;57,52884674;14,9200716;533,7373047;0,5727999806;-3,012895346;0,2013192922;0,;92,04615784;
0:0:4:937;57,52884674;14,92174721;533,4831543;0,5727999806;-3,013083458;0,2013451159;0,;92,04615784;
0:0:4:968;57,52884674;14,92174721;533,1987305;0,5712000132;-3,015154839;0,2017988563;0,;92,04615784;
0:0:5:0;57,52884674;14,92174721;533,0194702;0,5712000132;-3,018733025;0,2024022341;0,;92,04615784;
0:0:5:30;57,52884674;14,92174721;532,8723145;0,5703999996;-3,022498846;0,2027841061;0,;92,04615784;
0:0:5:62;57,52884674;14,92174721;532,7313843;0,5712000132;-3,026453257;0,203370735;0,;92,04615784;
0:0:5:92;57,52884674;14,92174721;532,6455078;0,5712000132;-3,031349421;0,2034033686;0,;92,04615784;
0:0:5:125;57,52884674;14,92486763;532,5802612;0,5719999671;-3,034926891;0,2033700347;0,;92,04615784;
0:0:5:155;57,52884674;14,92486763;532,4924316;0,5719999671;-3,037940025;0,2027414739;0,;92,04615784;
0:0:5:187;57,52884674;14,92486763;532,3273315;0,5727999806;-3,041140795;0,2016269267;0,;92,04615784;
0:0:5:217;57,52884674;14,92486763;532,1344604;0,5744000077;-3,042459011;0,2009177655;0,;92,04615784;
0:0:5:250;57,52884674;14,92486763;531,9014893;0,5751999617;-3,042082548;0,2012727112;0,;92,04615784;
0:0:5:280;57,52884674;14,92486763;531,6853027;0,5759999752;-3,040387869;0,2025899738;0,;92,04615784;
0:0:5:312;57,52884674;14,92654324;531,4371948;0,5759999752;-3,03699851;0,2051584572;0,;92,04615784;
0:0:5:343;57,52884674;14,92654324;531,2765503;0,5759999752;-3,033797264;0,2070478499;0,;92,04615784;
0:0:5:375;57,52884674;14,92654324;531,1777344;0,5759999752;-3,030030966;0,2085868567;0,;92,04615784;
0:0:5:405;57,52884674;14,92821884;531,1334229;0,5759999752;-3,02551198;0,2093157172;0,;92,04615784;
